name,total,information_man,information_woman,ratio
北    京,19612368,10126430,9485938,13569194
天    津,12938693,6907091,6031602,9848731
河    北,71854210,36430286,35423924,66684419
山    西,35712101,18338760,17373341,32471242
内 蒙 古,24706291,12838243,11868048,23323347
辽    宁,43746323,22147745,21598578,41824412
吉    林,27452815,13907218,13545597,26802191
黑 龙 江,38313991,19426106,18887885,36237576
上    海,23019196,11854916,11164280,16407734
江    苏,78660941,39626707,39034234,73043577
浙    江,54426891,27965641,26461250,45930651
安    徽,59500468,30245513,29254955,58999948
福    建,36894217,18981054,17913163,34097947
江    西,44567797,23003521,21564276,40397598
山    东,95792719,48446944,47345775,89971789
河    南,94029939,47493063,46536876,91236854
湖    北,57237727,29391247,27846480,59508870
湖    南,65700762,33776459,31924303,63274173
广    东,104320459,54400538,49919921,85225007
广    西,46023761,23924704,22099057,43854538
海    南,8671485,4592283,4079202,7559035
重    庆,28846170,14608870,14237300,30512763
四    川,80417528,40827834,39589694,82348296
贵    州,34748556,17905471,16843085,35247695
云    南,45966766,23856696,22110070,42360089
西    藏,3002165,1542652,1459513,2616329
陕    西,37327379,19287575,18039804,35365072
甘    肃,25575263,13064193,12511070,25124282
青    海,5626723,2913793,2712930,4822963
宁    夏,6301350,3227404,3073946,5486393
新    疆,21815815,11270147,10545668,18459511
