时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
1/10/2017,1,1,1,53,,
1/10/2017,1,2,2,46,,
1/10/2017,1,3,3,112,,
1/10/2017,1,4,4,38,,
1/10/2017,1,5,5,70,,
1/10/2017,1,6,6,57,,
1/10/2017,1,7,7,89,,
1/10/2017,1,8,8,51,,
1/10/2017,1,9,9,33,,
1/10/2017,1,10,10,56,,
1/10/2017,1,11,11,53,,
1/10/2017,1,12,12,47,,
1/10/2017,1,13,13,107,,
1/10/2017,1,14,14,112,,
1/10/2017,1,15,15,205,,
1/10/2017,1,16,16,137,,
1/10/2017,1,17,17,142,,
1/10/2017,1,18,18,89,,
1/10/2017,1,19,19,148,,
1/10/2017,1,20,20,87,,
1/10/2017,1,21,21,68,,
1/10/2017,1,22,22,73,,
1/10/2017,1,23,23,109,,
1/10/2017,1,24,24,123,,
1/10/2017,1,25,25,104,,
1/10/2017,1,26,26,232,,
1/10/2017,1,27,27,204,,
1/10/2017,1,28,28,101,,
1/10/2017,1,29,29,92,,
1/10/2017,1,30,30,85,,
1/10/2017,1,31,31,92,,
1/10/2017,1,32,32,58,,
1/10/2017,1,33,33,58,,
1/10/2017,1,34,34,112,,
1/10/2017,1,35,35,41,,
1/10/2017,1,36,36,55,,
1/10/2017,1,37,37,40,,
1/10/2017,1,38,38,48,,
1/10/2017,1,39,39,49,,
1/10/2017,1,40,40,43,,
1/10/2017,1,41,41,38,,
1/10/2017,1,42,42,50,,
1/10/2017,1,43,43,27,,
1/10/2017,1,44,44,29,,
1/10/2017,1,45,45,47,,
1/10/2017,1,46,46,63,,
1/10/2017,1,47,47,51,,
1/10/2017,1,48,48,55,,
1/10/2017,1,49,49,87,,
1/10/2017,1,50,50,316,,
1/11/2017,1,1,1,81,,
1/11/2017,1,2,2,172,,
1/11/2017,1,3,3,250,,
1/11/2017,1,4,4,108,,
1/11/2017,1,5,5,94,,
1/11/2017,1,6,6,56,,
1/11/2017,1,7,7,119,,
1/11/2017,1,8,8,89,,
1/11/2017,1,9,9,53,,
1/11/2017,1,10,10,49,,
1/11/2017,1,11,11,45,,
1/11/2017,1,12,12,55,,
1/11/2017,1,13,13,45,,
1/11/2017,1,14,14,96,,
1/11/2017,1,15,15,162,,
1/11/2017,1,16,16,68,,
1/11/2017,1,17,17,83,,
1/11/2017,1,18,18,47,,
1/11/2017,1,19,19,141,,
1/11/2017,1,20,20,94,,
1/11/2017,1,21,21,76,,
1/11/2017,1,22,22,74,,
1/11/2017,1,23,23,104,,
1/11/2017,1,24,24,169,,
1/11/2017,1,25,25,74,,
1/11/2017,1,26,26,228,,
1/11/2017,1,27,27,136,,
1/11/2017,1,28,28,151,,
1/11/2017,1,29,29,108,,
1/11/2017,1,30,30,72,,
1/11/2017,1,31,31,88,,
1/11/2017,1,32,32,82,,
1/11/2017,1,33,33,92,,
1/11/2017,1,34,34,33,,
1/11/2017,1,35,35,17,,
1/11/2017,1,36,36,56,,
1/11/2017,1,37,37,40,,
1/11/2017,1,38,38,28,,
1/11/2017,1,39,39,53,,
1/11/2017,1,40,40,45,,
1/11/2017,1,41,41,22,,
1/11/2017,1,42,42,73,,
1/11/2017,1,43,43,27,,
1/11/2017,1,44,44,27,,
1/11/2017,1,45,45,48,,
1/11/2017,1,46,46,67,,
1/11/2017,1,47,47,83,,
1/11/2017,1,48,48,72,,
1/11/2017,1,49,49,99,,
1/11/2017,1,50,50,302,,
1/12/2017,1,1,1,61,,
1/12/2017,1,2,2,184,,
1/12/2017,1,3,3,126,,
1/12/2017,1,4,4,74,,
1/12/2017,1,5,5,76,,
1/12/2017,1,6,6,66,,
1/12/2017,1,7,7,136,,
1/12/2017,1,8,8,53,,
1/12/2017,1,9,9,69,,
1/12/2017,1,10,10,44,,
1/12/2017,1,11,11,47,,
1/12/2017,1,12,12,69,,
1/12/2017,1,13,13,74,,
1/12/2017,1,14,14,93,,
1/12/2017,1,15,15,204,,
1/12/2017,1,16,16,84,,
1/12/2017,1,17,17,50,,
1/12/2017,1,18,18,45,,
1/12/2017,1,19,19,138,,
1/12/2017,1,20,20,56,,
1/12/2017,1,21,21,62,,
1/12/2017,1,22,22,60,,
1/12/2017,1,23,23,65,,
1/12/2017,1,24,24,259,,
1/12/2017,1,25,25,201,,
1/12/2017,1,26,26,80,,
1/12/2017,1,27,27,75,,
1/12/2017,1,28,28,129,,
1/12/2017,1,29,29,86,,
1/12/2017,1,30,30,55,,
1/12/2017,1,31,31,51,,
1/12/2017,1,32,32,86,,
1/12/2017,1,33,33,79,,
1/12/2017,1,34,34,13,,
1/12/2017,1,35,35,18,,
1/12/2017,1,36,36,51,,
1/12/2017,1,37,37,39,,
1/12/2017,1,38,38,39,,
1/12/2017,1,39,39,74,,
1/12/2017,1,40,40,89,,
1/12/2017,1,41,41,36,,
1/12/2017,1,42,42,59,,
1/12/2017,1,43,43,28,,
1/12/2017,1,44,44,29,,
1/12/2017,1,45,45,51,,
1/12/2017,1,46,46,84,,
1/12/2017,1,47,47,127,,
1/12/2017,1,48,48,94,,
1/12/2017,1,49,49,118,,
1/12/2017,1,50,50,217,,
1/13/2017,1,1,1,23,,
1/13/2017,1,2,2,46,,
1/13/2017,1,3,3,164,,
1/13/2017,1,4,4,41,,
1/13/2017,1,5,5,86,,
1/13/2017,1,6,6,52,,
1/13/2017,1,7,7,76,,
1/13/2017,1,8,8,56,,
1/13/2017,1,9,9,36,,
1/13/2017,1,10,10,52,,
1/13/2017,1,11,11,49,,
1/13/2017,1,12,12,50,,
1/13/2017,1,13,13,131,,
1/13/2017,1,14,14,88,,
1/13/2017,1,15,15,229,,
1/13/2017,1,16,16,129,,
1/13/2017,1,17,17,70,,
1/13/2017,1,18,18,84,,
1/13/2017,1,19,19,105,,
1/13/2017,1,20,20,24,,
1/13/2017,1,21,21,35,,
1/13/2017,1,22,22,25,,
1/13/2017,1,23,23,69,,
1/13/2017,1,24,24,137,,
1/13/2017,1,25,25,153,,
1/13/2017,1,26,26,99,,
1/13/2017,1,27,27,98,,
1/13/2017,1,28,28,113,,
1/13/2017,1,29,29,105,,
1/13/2017,1,30,30,89,,
1/13/2017,1,31,31,21,,
1/13/2017,1,32,32,25,,
1/13/2017,1,33,33,26,,
1/13/2017,1,34,34,24,,
1/13/2017,1,35,35,51,,
1/13/2017,1,36,36,24,,
1/13/2017,1,37,37,33,,
1/13/2017,1,38,38,68,,
1/13/2017,1,39,39,74,,
1/13/2017,1,40,40,113,,
1/13/2017,1,41,41,59,,
1/13/2017,1,42,42,61,,
1/13/2017,1,43,43,27,,
1/13/2017,1,44,44,32,,
1/13/2017,1,45,45,52,,
1/13/2017,1,46,46,109,,
1/13/2017,1,47,47,139,,
1/13/2017,1,48,48,96,,
1/13/2017,1,49,49,123,,
1/13/2017,1,50,50,347,,
1/14/2017,1,1,1,35,,
1/14/2017,1,2,2,40,,
1/14/2017,1,3,3,193,,
1/14/2017,1,4,4,53,,
1/14/2017,1,5,5,96,,
1/14/2017,1,6,6,74,,
1/14/2017,1,7,7,76,,
1/14/2017,1,8,8,46,,
1/14/2017,1,9,9,45,,
1/14/2017,1,10,10,36,,
1/14/2017,1,11,11,50,,
1/14/2017,1,12,12,45,,
1/14/2017,1,13,13,40,,
1/14/2017,1,14,14,63,,
1/14/2017,1,15,15,98,,
1/14/2017,1,16,16,67,,
1/14/2017,1,17,17,88,,
1/14/2017,1,18,18,60,,
1/14/2017,1,19,19,103,,
1/14/2017,1,20,20,65,,
1/14/2017,1,21,21,51,,
1/14/2017,1,22,22,46,,
1/14/2017,1,23,23,95,,
1/14/2017,1,24,24,86,,
1/14/2017,1,25,25,60,,
1/14/2017,1,26,26,85,,
1/14/2017,1,27,27,119,,
1/14/2017,1,28,28,96,,
1/14/2017,1,29,29,105,,
1/14/2017,1,30,30,101,,
1/14/2017,1,31,31,30,,
1/14/2017,1,32,32,27,,
1/14/2017,1,33,33,39,,
1/14/2017,1,34,34,47,,
1/14/2017,1,35,35,69,,
1/14/2017,1,36,36,18,,
1/14/2017,1,37,37,22,,
1/14/2017,1,38,38,83,,
1/14/2017,1,39,39,115,,
1/14/2017,1,40,40,147,,
1/14/2017,1,41,41,45,,
1/14/2017,1,42,42,49,,
1/14/2017,1,43,43,29,,
1/14/2017,1,44,44,35,,
1/14/2017,1,45,45,52,,
1/14/2017,1,46,46,208,,
1/14/2017,1,47,47,126,,
1/14/2017,1,48,48,102,,
1/14/2017,1,49,49,116,,
1/14/2017,1,50,50,265,,
1/15/2017,1,1,1,71,,
1/15/2017,1,2,2,45,,
1/15/2017,1,3,3,272,,
1/15/2017,1,4,4,84,,
1/15/2017,1,5,5,283,,
1/15/2017,1,6,6,141,,
1/15/2017,1,7,7,119,,
